,jasmin_name,latitude,longitude,Area
129,bezymianny,55.972,160.595,Kamchatka and Mainland Asia
130,bibinoi,-0.77,127.72,Indonesia
131,bilate_river_field,7.07,38.1,Africa and Red Sea
132,biliran,11.523,124.535,Philippines and SE Asia
133,billy_mitchell,-6.0920000000000005,155.225,Melanesia and Australia
134,,15.55,50.63,Middle East and Indian Ocean
135,bishoftu_volcanic_field,8.78,38.98,Africa and Red Sea
136,,10.75,12.0,Africa and Red Sea
137,,10.75,12.088,Africa and Red Sea
138,black_butte_crater_lava_field,43.183,-114.352,Canada and Western USA
139,black_peak,56.552,-158.785,Alaska
140,black_rock_desert,38.97,-112.5,Canada and Western USA
141,black_rock_desert,38.97,-112.5,Canada and Western USA
142,bliznets,56.97,159.78,Kamchatka and Mainland Asia
143,bliznetsy,57.35,161.37,Kamchatka and Mainland Asia
144,blue_lake_crater,44.411,-121.774,Canada and Western USA
145,bobrof,51.91,-177.438,Alaska
146,,0.25,36.08,Africa and Red Sea
147,bogoslof,53.93,-168.03,Alaska
148,bolshe-bannaya,52.9,157.78,Kamchatka and Mainland Asia
149,bolshoi_payalpan,55.88,157.78,Kamchatka and Mainland Asia
150,bolshoi_semiachik,54.32,160.02,Kamchatka and Mainland Asia
151,bolshoi-kekuknaysky,56.47,157.8,Kamchatka and Mainland Asia
152,,-37.721,77.825,Middle East and Indian Ocean
153,bora_ale,13.725,40.6,Africa and Red Sea
154,bora-bericcio,8.27,39.03,Africa and Red Sea
155,borawli,11.63,41.45,Africa and Red Sea
156,boset-bericha,8.558,39.475,Africa and Red Sea
157,,-54.42,3.35,Atlantic Ocean
158,,14.85,-24.72,Atlantic Ocean
159,brennisteinsfjoll,63.92,-21.83,Iceland and Arctic Ocean
160,bridge_river_cones,50.8,-123.4,Canada and Western USA
161,,-62.06100000000001,-56.93,Antarctica
162,,-59.063,-26.587,Antarctica
163,,-34.875,179.075,New Zealand to Fiji
164,,-66.78,163.25,Antarctica
165,bufumbira,-1.23,29.72,Africa and Red Sea
166,bukit_daun,-3.38,102.37,Indonesia
167,bukit_lumut_balai,-4.22,103.62,Indonesia
168,,52.35,175.922,Alaska
169,bulusan,12.77,124.05,Philippines and SE Asia
170,bunyaruguru,-0.2,30.08,Africa and Red Sea
171,bur_ni_telong,4.769,96.821,Indonesia
