,name,latitude,longitude
172,Callaqui,-37.92,-71.45
173,Cameroon,4.203,9.17
174,Camiguin,9.203,124.673
175,Camiguin de Babuyanes,18.83,121.86
176,Campi Flegrei,40.827,14.139
177,Cañapa,-21.5,-68.12
178,Candlemas Island,-57.08,-26.67
179,Cápur,-24.02,-67.85
180,Caquena,-18.07,-69.22
181,Carlisle,52.894,-170.054
182,Carrán-Los Venados,-40.35,-72.07
183,Carrizozo,33.78,-105.93
184,Cay,-45.059,-72.984
185,Cayambe,0.029,-77.986
186,Cayley Volcanic Field,50.12,-123.28
187,Cayutué-La Viguería,-41.25,-72.27
188,Ceboruco,21.125,-104.508
189,"Cendres, Ile des",10.158,109.014
190,Central Island,3.5,36.042
191,Cereme,-6.892,108.4
192,Cerro Ascotán,-21.68,-68.12
193,Cerro Auquihuato,-15.07,-73.18
194,Cerro Azul,-0.92,-91.408
195,Cerro Azul,-35.653,-70.76100000000002
196,Cerro Bayo Gorbea,-25.414,-68.58800000000001
197,Cerro Blanco,-26.789,-67.765
198,Cerro Bravo,5.091,-75.293
199,Cerro Cariquima,-19.55,-68.68
200,Cerro Chascon,-21.88,-67.9
201,Cerro Cinotepeque,14.02,-89.25
202,Cerro Colorado,-26.18,-68.37
203,Cerro Copa,-20.63,-68.45
204,Cerro de la Niebla,-25.25,-68.63
205,Cerro de Río Negro,-23.398000000000003,-67.582
206,Cerro del Azufre,-21.787,-68.237
207,Cerro del Leon,-22.142,-68.108
208,Cerro el Ciguatepe,12.53,-86.14200000000002
209,Cerro Galán,-25.93,-66.92
210,Cerro Hudson,-45.9,-72.97
211,Cerro Maichín,-39.35,-71.55
212,Cerro Moiro,-21.68,-67.47
213,Cerro Napa,-20.52,-68.68
214,Cerro Negro,12.505999999999998,-86.70200000000001
215,Cerro Nevado,-35.58,-68.48899999999999
216,Cerro Nicholson,-16.261,-71.75399999999998
217,Cerro Overo,-23.52,-67.67
218,Cerro Pantojo,-40.768,-71.943
219,Cerro Prieto,32.418,115.305
220,Cerro Pucara,-16.236,-69.471
221,Cerro San Agustín,-21.25,-67.75
222,Cerro Santiago,14.33,-89.87
223,Cerro Singüil,14.05,-89.65
224,Cerro Tatajachura,-19.5,-69.12
225,Cerro Trautrén,-39.17,-71.4
226,Cerro Tujle,-23.83,-67.95
227,Cerro Zapaleri,-22.82,-67.18
228,Cerros de Tocorpuri,-22.439,-67.888
229,Cerros Purupuruni,-17.32,-69.9
230,Ch&#039;uga-ryrong,38.33,127.33
231,Chacana,-0.375,-78.25
232,Chachadake [Tiatia],44.353,146.252
233,Chachimbiro,0.468,-78.28699999999998
