,name,latitude,longitude
177,Calabozos,-35.558,-70.496
178,Calatrava Volcanic Field,38.87,4.02
179,Calbuco,-41.326,-72.614
180,Caldera del Atuel,-34.65,-70.05
181,Callaqui,-37.92,-71.45
182,Cameroon,4.203,9.17
183,Camiguin,9.203,124.673
184,Camiguin de Babuyanes,18.83,121.86
185,Campi Flegrei,40.827,14.139
186,Cañapa,-21.5,-68.12
187,Candlemas Island,-57.08,-26.67
188,Cápur,-24.02,-67.85
189,Caquena,-18.07,-69.22
190,Carlisle,52.894,-170.054
191,Carrán-Los Venados,-40.35,-72.07
192,Carrizozo,33.78,-105.93
193,Cay,-45.059,-72.984
194,Cayambe,0.029,-77.986
195,Cayley Volcanic Field,50.12,-123.28
196,Cayutué-La Viguería,-41.25,-72.27
197,Ceboruco,21.125,-104.508
198,"Cendres, Ile des",10.158,109.014
199,Central Island,3.5,36.042
200,Cereme,-6.892,108.4
201,Cerro Ascotán,-21.68,-68.12
202,Cerro Auquihuato,-15.07,-73.18
203,Cerro Azul,-0.92,-91.408
204,Cerro Azul,-35.653,-70.761
205,Cerro Bayo Gorbea,-25.414,-68.588
206,Cerro Blanco,-26.789,-67.765
207,Cerro Bravo,5.091,-75.293
208,Cerro Cariquima,-19.55,-68.68
209,Cerro Chascon,-21.88,-67.9
210,Cerro Cinotepeque,14.02,-89.25
211,Cerro Colorado,-26.18,-68.37
212,Cerro Copa,-20.63,-68.45
213,Cerro de la Niebla,-25.25,-68.63
214,Cerro de Río Negro,-23.398,-67.582
215,Cerro del Azufre,-21.787,-68.237
216,Cerro del Leon,-22.142,-68.108
217,Cerro el Ciguatepe,12.53,-86.142
218,Cerro Galán,-25.93,-66.92
219,Cerro Hudson,-45.9,-72.97
220,Cerro Maichín,-39.35,-71.55
221,Cerro Moiro,-21.68,-67.47
222,Cerro Napa,-20.52,-68.68
223,Cerro Negro,12.506,-86.702
224,Cerro Nevado,-35.58,-68.489
225,Cerro Nicholson,-16.261,-71.754
226,Cerro Overo,-23.52,-67.67
227,Cerro Pantojo,-40.768,-71.943
228,Cerro Prieto,32.418,115.305
229,Cerro Pucara,-16.236,-69.471
230,Cerro San Agustín,-21.25,-67.75
231,Cerro Santiago,14.33,-89.87
232,Cerro Singüil,14.05,-89.65
233,Cerro Tatajachura,-19.5,-69.12
234,Cerro Trautrén,-39.17,-71.4
235,Cerro Tujle,-23.83,-67.95
236,Cerro Zapaleri,-22.82,-67.18
237,Cerros de Tocorpuri,-22.439,-67.888
238,Cerros Purupuruni,-17.32,-69.9
239,Ch&#039;uga-ryrong,38.33,127.33
240,Chacana,-0.375,-78.25
241,Chachadake [Tiatia],44.353,146.252
242,Chachimbiro,0.468,-78.287
243,Chagulak,52.577,-171.13
244,Chaine des Puys,45.775,2.97
245,Chaiten,-42.833,-72.646
246,Changbaishan,41.98,128.08
247,Cherny,56.82,159.67
248,Cherpuk Group,55.55,157.47
249,Chichinautzin,19.08,-99.13
250,Chiginagak,57.135,-156.99
251,Chikurachki,50.324,155.461
252,Chiles-Cerro Negro,0.817,-77.938
253,Chiliques,-23.58,-67.7
254,Chimborazo,-1.464,-78.815
255,Chinameca,13.478,-88.33
256,Chingo,14.12,-89.73
257,Chiquimula Volcanic Field,14.83,-89.55
258,Chiracha,6.712,38.085
259,Chirinkotan,48.98,153.48
260,Chirippusan [Chirip],45.338,147.92
261,Chirpoi,46.525,150.875
262,Churchill,61.38,-141.75
263,Chyulu Hills,2.68,37.88
264,Cinnamon Butte,43.241,-122.108
265,Clark,-36.446,177.839
266,Clear Lake,38.97,-122.77
267,Cleft Segment,44.83,-130.3
268,Cleveland,52.825,-169.944
269,Coatepeque Caldera,13.87,-89.55
270,CoAxial Segment,46.52,-129.58
271,Cobb Segment,46.88,-129.33
272,Cochiquito Volcanic Group,-36.739,-69.834
273,Cofre de Perote,19.492,-97.15
274,Colachi,-23.236,-67.645
275,Colima,19.514,-103.62
276,Colo,-0.162,121.601
277,Comondú-La Purísima,26,111.92
