db_name,db_volcano_number,db_name_to_lower,jasmin_name
Reventador,352010,reventador,reventador
Reykjanes,371020,reykjanes,reykjanes
Riendengan-Sempu,266040,riendengan-sempu,riendengan-sempu
Rincón de la Vieja,345020,rincón_de_la_vieja,rincon_de_la_vieja
Rinjani,264030,rinjani,rinjani
Risco Plateado,357024,risco_plateado,risco_plateado
NULL,NULL,NULL,ritter_island
Romanovka,300340,romanovka,romanovka
Romeral,351011,romeral,romeral
Rota,344060,rota,rota
Ruapehu,241100,ruapehu,ruapehu
Rucharuyama,290091,rucharuyama,rucharuyama
Rudakov,290112,rudakov,rudakov
Rungwe,222166,rungwe,rungwe
Ruruidake [Smirnov],290021,ruruidake_[smirnov],ruruidake
Sabalan,232002,sabalan,sabalan
Sabancaya,354006,sabancaya,sabancaya
Sahand,232001,sahand,sahand
Sairecábur,355091,sairecábur,sairecabur
Salak,263050,salak,salak
Salton Buttes,323200,salton_buttes,salton_buttes
Samsari Volcanic Center,214050,samsari_volcanic_center,samsari_volcanic_center
NULL,NULL,NULL,sanbesan
San Borja Volcanic Field,341007,san_borja_volcanic_field,san_borja_volcanic_field
San Carlos,224002,san_carlos,san_carlos
San Cristóbal,344020,san_cristóbal,san_cristobal
San Diego,343001,san_diego,san_diego
Sand Mountain Field,322040,sand_mountain_field,sand_mountain_field
San Francisco Volcanic Field,329020,san_francisco_volcanic_field,san_francisco_volcanic_field
Sanganguey,341024,sanganguey,sanganguey
Sangay,352090,sangay,sangay
Sangeang Api,264050,sangeang_api,sangeang_api
San Joaquin,224003,san_joaquin,san_joaquin
San Jorge,382030,san_jorge,san_jorge
San José,357020,san_josé,san_jose
San Martín,341110,san_martín,san_martin
San Miguel,343100,san_miguel,san_miguel
San Pablo Volcanic Field,273060,san_pablo_volcanic_field,san_pablo_volcanic_field
San Pedro-Pellado,357062,san_pedro-pellado,san_pedro_pellado
San Pedro-San Pablo,355070,san_pedro-san_pablo,san_pedro_san_pablo
San Salvador,343050,san_salvador,san_salvador
Santa Ana,343020,santa_ana,santa_ana
NULL,NULL,NULL,santa_cruz
Santa Isabel,224004,santa_isabel,santa_isabel
Santa Maria,324030,santa_maria,santa_maria
NULL,NULL,NULL,santiago
Santorini,212040,santorini,santorini
San Vicente,343070,san_vicente,san_vicente
Sara Sara,354002,sara_sara,sara_sara
Sarik-Gajah,261131,sarik-gajah,sarik-gajah
Sashiusudake [Baransky],290080,sashiusudake_[baransky],sashiusudake
Schmidt,300201,schmidt,schmidt
Sedankinsky,300520,sedankinsky,sedankinsky
Segererua Plateau,222050,segererua_plateau,segererua_plateau
Seguam,311180,seguam,seguam
Segula,311030,segula,segula
Sekincau Belirang,261260,sekincau_belirang,sekincau_belirang
Semeru,263300,semeru,semeru
Serdán-Oriental,341092,serdán-oriental,serdan-oriental
NULL,NULL,NULL,sessagara
Seulawah Agam,261020,seulawah_agam,seulawah_agam
Severny,300700,severny,severny
Sharat Kovakab,230010,sharat_kovakab,sharat_kovakab
Shasta,323010,shasta,shasta
Sheveluch,300270,sheveluch,sheveluch
NULL,NULL,NULL,shiga
NULL,NULL,NULL,shikaribetsu_group
NULL,NULL,NULL,shikotsu
NULL,NULL,NULL,shiretoko-iozan
Shisheika,300511,shisheika,shisheika
Shishel,300580,shishel,shishel
Sibualbuali,261110,sibualbuali,sibualbuali
Sierra Negra,353050,sierra_negra,sierra_negra
Silali,222052,silali,silali
Silay,272040,silay,silay
Silverthrone,320160,silverthrone,silverthrone
Sinabung,261080,sinabung,sinabung
Singkut,261070,singkut,singkut
Sirung,264270,sirung,sirung
Slamet,263180,slamet,slamet
Snaefellsjokull,370010,snaefellsjokull,snaefellsjokull
Snegovoy,300690,snegovoy,snegovoy
Snezhniy,300660,snezhniy,snezhniy
Snowy Mountain,312200,snowy_mountain,snowy_mountain
Soche,352001,soche,soche
Socompa,355109,socompa,socompa
Soda Lakes,326010,soda_lakes,soda_lakes
Sodore,221222,sodore,sodore
Sollipulli,357111,sollipulli,sollipulli
Soputan,266030,soputan,soputan
Sorikmarapi,261120,sorikmarapi,sorikmarapi
NULL,NULL,NULL,sork_ale
Sotará,351061,sotará,sotara
Soufrière Guadeloupe,360060,soufrière_guadeloupe,soufriere_guadeloupe
Soufrière Hills,360050,soufrière_hills,soufriere_hills
Soufrière St. Vincent,360150,soufrière_st._vincent,soufriere_st._vincent
South Island,222020,south_island,south_island
Spectrum Range,320070,spectrum_range,spectrum_range
Spokoiny,300671,spokoiny,spokoiny
St. Catherine,360170,st._catherine,st._catherine
Stellar,312220,stellar,steller
St. Helens,321050,st._helens,st._helens
Stromboli,211040,stromboli,stromboli
Suchitán,342160,suchitán,suchitan
Sukaria Caldera,264120,sukaria_caldera,sukaria_caldera
NULL,NULL,NULL,sulu_range
Sumaco,352040,sumaco,sumaco
Sumbing,261180,sumbing,sumbing
Sundoro,263210,sundoro,sundoro
Suoh,261270,suoh,suoh
Suswa,222110,suswa,suswa
NULL,NULL,NULL,suwanosejima
Taal,273070,taal,taal
Taapaca,355011,taapaca,taapaca
Taburete,343072,taburete,taburete
Tacaná,341130,tacaná,tacana
Tacora,355010,tacora,tacora
Taftan,232050,taftan,taftan
Tahalra Volcanic Field,225004,tahalra_volcanic_field,tahalra_volcanic_field
Tahual,342141,tahual,tahual
NULL,NULL,NULL,taisetsuzan
Tajumulco,342020,tajumulco,tajumulco
NULL,NULL,NULL,takaharayama
Takawangha,311090,takawangha,takawangha
NULL,NULL,NULL,takuan_group
Talagabodas,263150,talagabodas,talagabodas
Talakmau,261130,talakmau,talakmau
Talang,261160,talang,talang
Tambo Quemado,355021,tambo_quemado,tambo_quemado
Tambora,264040,tambora,tambora
Tampomas,263131,tampomas,tampomas
Tana,311241,tana,tana
Tanaga,3110801,tanaga,tanaga
Tandikat-Singgalang,261150,tandikat-singgalang,tandikat-singgalang
Tangkoko-Duasudara,266130,tangkoko-duasudara,tangkoko-duasudara
Tangkubanparahu,263090,tangkubanparahu,tangkubanparahu
Tarakan,268001,tarakan,tarakan
Taranaki [Egmont],241030,taranaki_[egmont],taranaki
Tarso Toh,225009,tarso_toh,tarso_toh
Tarso Tousside,225010,tarso_tousside,tarso_tousside
Tarso Voon,225020,tarso_voon,tarso_voon
Taryatu-Chulutu,303010,taryatu-chulutu,taryatu-chulutu
Tat Ali,221106,tat_ali,tat_ali
Tata Sabaya,355032,tata_sabaya,tata_sabaya
Taunshits,300160,taunshits,taunshits
Taupo,241070,taupo,taupo
NULL,NULL,NULL,tavui
Tecapa,343080,tecapa,tecapa
Tecuamburro,342120,tecuamburro,tecuamburro
Telica,344040,telica,telica
Telomoyo,263231,telomoyo,telomoyo
NULL,NULL,NULL,tenchozan
Tenduruk Dagi,213030,tenduruk_dagi,tenduruk_dagi
Tenerife,383030,tenerife,tenerife
Tengger Caldera,263310,tengger_caldera,tengger_caldera
Tenorio,345031,tenorio,tenorio
Tepi,221292,tepi,tepi
Terceira,382050,terceira,terceira
Terpuk,300512,terpuk,terpuk
The Barrier,222030,the_barrier,the_barrier
NULL,NULL,NULL,theistareykir
Three Sisters,322070,three_sisters,three_sisters
Ticsani,354031,ticsani,ticsani
Tidore,268061,tidore,tidore
Tigalalu,268071,tigalalu,tigalalu
Tilocalar,355105,tilocalar,tilocalar
Tindfjallajokull,372040,tindfjallajokull,tindfjallajokull
Tinguiririca,357030,tinguiririca,tinguiririca
Tin Zaouatene Volcanic Field,225002,tin_zaouatene_volcanic_field,tin_zaouatene_volcanic_field
Tipas,355220,tipas,tipas
Titila,300560,titila,titila
Tlevak Strait-Suemez Is.,315060,tlevak_strait-suemez_is.,tlevak_strait-suemez_is.
Toba,261090,toba,toba
Tobaru,268020,tobaru,tobaru
Todoko-Ranu,268050,todoko-ranu,todoko-ranu
NULL,NULL,NULL,tokachidake
Tolbachik,300240,tolbachik,tolbachik
Tolhuaca,357093,tolhuaca,tolhuaca
Tolimán,342070,tolimán,toliman
Tolmachev Dol,300082,tolmachev_dol,tolmachev_dol
Tomariyama [Golovnin],2900010,tomariyama_[golovnin],tomariyama
Tondano,266070,tondano,tondano_caldera
Tongariro,241080,tongariro,tongariro
NULL,NULL,NULL,tore
Torfajokull,372050,torfajokull,torfajokull
Toroeng Prong,275030,toroeng_prong,toroeng_prong
Tosa Sucha,221310,tosa_sucha,tosa_sucha
NULL,NULL,NULL,toshima
NULL,NULL,NULL,towada
NULL,NULL,NULL,toya
NULL,NULL,NULL,traitors_head
Tralihue,357101,tralihue,tralihue
Tres Vírgenes,341010,tres_vírgenes,tres_virgenes
Trident,-16312160,trident,trident
Tri Sestry,290113,tri_sestry,tri_sestry
Trolon,357081,trolon,trolon
Tromen,357072,tromen,tromen
Tronador,358011,tronador,tronador
Tseax River Cone,320100,tseax_river_cone,tseax_river_cone
Tshibinda,223080,tshibinda,tshibinda
Tskhouk-Karckar,214100,tskhouk-karckar,tskhouk_karckar
Tullu Moje,221250,tullu_moje,tullu_moje
Tungnafellsjokull,373040,tungnafellsjokull,tungnafellsjokull
Tungurahua,352080,tungurahua,tungurahua
Tunkin Depression,302050,tunkin_depression,tunkin_depression
Tupungatito,357010,tupungatito,tupungatito
Turrialba,345070,turrialba,turrialba
Tutupaca,354040,tutupaca,tutupaca
Tuya Volcanic Field,320031,tuya_volcanic_field,tuya_volcanic_field
Tuzgle,355150,tuzgle,tuzgle
Tuzovsky,300540,tuzovsky,tuzovsky
Ubehebe Craters,323160,ubehebe_craters,ubehebe_craters
Ubinas,354020,ubinas,ubinas
Udina,300241,udina,udina
Udokan Plateau,302030,udokan_plateau,udokan_plateau
Ugashik-Peulik,312130,ugashik-peulik,ugashik-peulik
Uinkaret Field,329010,uinkaret_field,uinkaret_field
Uka,300610,uka,uka
Ukinrek Maars,312131,ukinrek_maars,ukinrek_maars
Uksichan,300350,uksichan,uksichan
NULL,NULL,NULL,ulawun
Uliaga,311250,uliaga,uliaga
Ulreung,306030,ulreung,ulreung
NULL,NULL,NULL,umboi
Ungaran,263230,ungaran,ungaran
NULL,NULL,NULL,unzendake
Uratman,290191,uratman,uratman
Ushkovsky,300261,ushkovsky,ushkovsky
Usulután,343081,usulután,usulutan
Uturuncu,355838,uturuncu,uturuncu
Uzon,300170,uzon,uzon
Veer,300121,veer,veer
Verkhovoy,300440,verkhovoy,verkhovoy
Vestmannaeyjar,372010,vestmannaeyjar,vestmannaeyjar
Vesuvius,2110101,vesuvius,vesuvius
NULL,NULL,NULL,victory
Viedma,358061,viedma,viedma
Villarrica,357120,villarrica,villarrica
Vilyuchik,300083,vilyuchik,vilyuchik
Visoke,223050,visoke,visoke
Visokiy,300059,visokiy,visokiy
Volcán Azul,344140,volcán_azul,volcan_azul
Voyampolsky,300720,voyampolsky,voyampolsky
Vulcano,211050,vulcano,vulcano
Vulsini,211003,vulsini,vulsini
Vysoky,300221,vysoky,vysoky
NULL,NULL,NULL,waiowa
Wai Sano,264060,wai_sano,wai_sano
Wapi Lava Field,3240301,wapi_lava_field,wapi_lava_field
NULL,NULL,NULL,washiba-kumonotaira
Wells Gray-Clearwater,320150,wells_gray-clearwater,wells_gray-clearwater
West Crater,321060,west_crater,west_crater
Westdahl,311340,westdahl,westdahl
West Eifel Volcanic Field,210010,west_eifel_volcanic_field,west_eifel_volcanic_field
Whangarei,241011,whangarei,whangarei
White Island,2410401,white_island,white_island
Wilis,263270,wilis,wilis
NULL,NULL,NULL,witori
NULL,NULL,NULL,wolf
NULL,NULL,NULL,yakedake
Yali,212051,yali,yali
Yangudi,221151,yangudi,yangudi
Yantarni,312100,yantarni,yantarni
Yanteles,358049,yanteles,yanteles
NULL,NULL,NULL,yasur
Yate,358022,yate,yate
Yavinsky,300021,yavinsky,yavinsky
Yellowstone,325010,yellowstone,yellowstone
NULL,NULL,NULL,yokoate-jima
NULL,NULL,NULL,yokodake
NULL,NULL,NULL,yonemaru-sumiyoshiike
NULL,NULL,NULL,yoteizan
Yucamane,354050,yucamane,yucamane
NULL,NULL,NULL,yufu-tsurumi
Yunaska,311210,yunaska,yunaska
NULL,NULL,NULL,zaozan
Zaozerny,300480,zaozerny,zaozerny
Zapatera,344111,zapatera,zapatera
Zavaritsky,300124,zavaritsky,zavaritsky
Zavaritzki Caldera,290180,zavaritzki_caldera,zavaritzki_caldera
Zheltovsky,300040,zheltovsky,zheltovsky
Zhupanovsky,300120,zhupanovsky,zhupanovsky
Zimina,300242,zimina,zimina
Zitácuaro-Valle de Bravo,341061,zitácuaro-valle_de_bravo,zitacuaro-valle_de_bravo
Zukur,221021,zukur,zukur
Zuni-Bandera,327120,zuni-bandera,zuni-bandera
