db_name,db_volcano_number,db_name_to_lower,jasmin_name
Guayaques,355093,guayaques,guayaques
Guazapa,343052,guazapa,guazapa
Gufa,221124,gufa,gufa
Guntur,263130,guntur,guntur
NULL,NULL,NULL,hachijojima
NULL,NULL,NULL,hachimantai
NULL,NULL,NULL,hakkodasan
NULL,NULL,NULL,hakoneyama
NULL,NULL,NULL,hakusan
Haleakala,332060,haleakala,haleakala
Halla,306040,halla,halla
Hanish,221022,hanish,hanish
NULL,NULL,NULL,hargy
NULL,NULL,NULL,harunasan
Hasan Dagi,213002,hasan_dagi,hasan_dagi
Hayli Gubbi,221091,hayli_gubbi,hayli_gubbi
Heart Peaks,320040,heart_peaks,heart_peaks
Hekla,372070,hekla,hekla
Helgrindur,370020,helgrindur,helgrindur
Hell&#039;s Half Acre,324040,hell&#039;s_half_acre,hells_half_acre
Hengill,371050,hengill,hengill
Herbert,311220,herbert,herbert
Hertali,221171,hertali,hertali
NULL,NULL,NULL,hijiori
Hiri,268052,hiri,hiri
NULL,NULL,NULL,hiuchigatake
NULL,NULL,NULL,hobicha_caldera
Hofsjokull,371090,hofsjokull,hofsjokull
NULL,NULL,NULL,hokkaido-komagatake
Homa Mountain,222070,homa_mountain,homa_mountain
Honggeertu,305010,honggeertu,honggeertu
Hood,322010,hood,hood
Hoodoo Mountain,320080,hoodoo_mountain,hoodoo_mountain
NULL,NULL,NULL,hornopiren
Hromundartindur,371051,hromundartindur,hromundartindur
Hualalai,332040,hualalai,hualalai
Huambo,354005,huambo,huambo
Huanquihue Group,357123,huanquihue_group,huanquihue_group
Huaynaputina,354030,huaynaputina,huaynaputina
Huequi,358030,huequi,huequi
Hulubelu,261280,hulubelu,hulubelu
Hualalai,332040,hualalai,hululais
NULL,NULL,NULL,hydrographers_range
NULL,NULL,NULL,iamalele
Ibu,268030,ibu,ibu
Ichinsky,300280,ichinsky,ichinsky
NULL,NULL,NULL,iettunup
Igwisi Hills,222161,igwisi_hills,igwisi_hills
Ijen,263350,ijen,ijen
Iktunup,300670,iktunup,iktunup
Iliboleng,264220,iliboleng,iliboleng
Iliinsky,300030,iliinsky,iliinsky
Ililabalekan,264240,ililabalekan,ililabalekan
Ilimuda,264170,ilimuda,ilimuda
Iliwerung,264250,iliwerung,iliwerung
Illiniza,352041,illiniza,illiniza
Ilopango,343060,ilopango,ilopango
Imbabura,352004,imbabura,imbabura
Indian Heaven,321070,indian_heaven,indian_heaven
Infiernillo,357041,infiernillo,infiernillo
Inielika,264090,inielika,inielika
Inierie,264080,inierie,inierie
NULL,NULL,NULL,io-torishima
Ipala,342190,ipala,ipala
Irazú,345060,irazú,irazu
Iriga,273041,iriga,iriga
Irruputuncu,355040,irruputuncu,irruputuncu
Isarog,273042,isarog,isarog
Ischia,211030,ischia,ischia
Iskut-Unuk River Cones,320090,iskut-unuk_river_cones,iskut-unuk_river_cones
Isla el Tigre,343130,isla_el_tigre,isla_el_tigre
Isla Isabel,341023,isla_isabel,isla_isabel
Isla San Luis,341003,isla_san_luis,isla_san_luis
Isla Tortuga,341011,isla_tortuga,isla_tortuga
Isla Zacate Grande,343140,isla_zacate_grande,isla_zacate_grande
Isluga,355030,isluga,isluga
Ivao Group,290111,ivao_group,ivao_group
NULL,NULL,NULL,iwakisan
NULL,NULL,NULL,iwatesan
Ixtepeque,142180,ixtepeque,ixtepeque
Iya,264110,iya,iya
Iyang-Argapura,263330,iyang-argapura,iyang-argapura
Izalco,343030,izalco,izalco
Iztaccíhuatl,341082,iztaccíhuatl,iztaccihuatl
NULL,NULL,NULL,izu-oshima
NULL,NULL,NULL,izu-tobu
Jailolo,268051,jailolo,jailolo
Jalua,221030,jalua,jalua
Jaraguay Volcanic Field,341004,jaraguay_volcanic_field,jaraguay_volcanic_field
Jatun Mundo Quri Warani,355036,jatun_mundo_quri_warani,jatun_mundo_quri_warani
Jebel at Tair,221010,jebel_at_tair,jebel_at_tair
Jebel Marra,225030,jebel_marra,jebel_marra
Jebel Zubair Group,221020,jebel_zubair_group,jebel_zubair_group
Jefferson,322020,jefferson,jefferson
NULL,NULL,NULL,jocotitlan
Jom-Bolok,302060,jom-bolok,jom-bolok
Jordan Craters,322190,jordan_craters,jordan_craters
Jumaytepeque,342121,jumaytepeque,jumaytepeque
Kaba,261220,kaba,kaba
NULL,NULL,NULL,kadovar
Kagamil,311260,kagamil,kagamil
Kaguyak,312250,kaguyak,kaguyak
Kaikohe-Bay of Islands,241010,kaikohe-bay_of_islands,kaikohe-bay_of_islands
Kaileney,300620,kaileney,kaileney
Kalatungan,271061,kalatungan,kalatungan
Kambalny,300010,kambalny,kambalny
Kamen,300251,kamen,kamen
Kanaga,311110,kanaga,kanaga
Kanlaon,272020,kanlaon,kanlaon
Karaca Dag,213011,karaca_dag,karaca_dag
Karang,263020,karang,karang
Karapinar Field,213001,karapinar_field,karapinar_field
Karisimbi,223040,karisimbi,karisimbi
NULL,NULL,NULL,karkar
Karymsky,300130,karymsky,karymsky
Kasatochi,311130,kasatochi,kasatochi
Katla,372030,katla,katla
Katmai,312170,katmai,katmai
Katunga,223005,katunga,katunga
Katwe-Kikorongo,223003,katwe-kikorongo,katwe-kikorongo
Kawi-Butak,263281,kawi-butak,kawi-butak
Kazbek,214020,kazbek,kazbek
Kebeney,300500,kebeney,kebeney
Kekurny,300410,kekurny,kekurny
Kelimutu,264140,kelimutu,kelimutu
Kell,30041,kell,kell
Kelut,263280,kelut,kelut
Kendang,263110,kendang,kendang
Kerinci,261170,kerinci,kerinci
Khangar,300272,khangar,khangar
Khanuy Gol,303020,khanuy_gol,khanuy_gol
Khodutka,300053,khodutka,khodutka
Kialagvik,312120,kialagvik,kialagvik
NULL,NULL,NULL,kikai
Kikhpinych,300180,kikhpinych,kikhpinych
Kilauea,332010,kilauea,kilauea
Kilimanjaro,222150,kilimanjaro,kilimanjaro
Kinenin,300551,kinenin,kinenin
NULL,NULL,NULL,kirishimayama
Kiska,311020,kiska,kiska
Kizimen,300230,kizimen,kizimen
Klabat,266120,klabat,klabat
Klyuchevskoy,300260,klyuchevskoy,klyuchevskoy
NULL,NULL,NULL,kogaja-jima
Kolbeinsey Ridge,375010,kolbeinsey_ridge,kolbeinsey_ridge
Kolokol Group,290120,kolokol_group,kolokol_group
Komarov,300220,komarov,komarov
Kone,221200,kone,kone
Koniuji,311140,koniuji,koniuji
NULL,NULL,NULL,koranga
Korath Range,221320,korath_range,korath_range
Korosi,222054,korosi,korosi
Korovin,311161,korovin,korovin
Koryaksky,300090,koryaksky,koryaksky
Koshelev,300020,koshelev,koshelev
Kostakan,300122,kostakan,kostakan
NULL,NULL,NULL,kozushima
Kozyrevsky,300330,kozyrevsky,kozyrevsky
Krafla,373,krafla,krafla
Krainy,300400,krainy,krainy
Krakatau,262000,krakatau,krakatau
Krasheninnikov,300190,krasheninnikov,krasheninnikov
Kronotsky,300200,kronotsky,kronotsky
NULL,NULL,NULL,krummel-garbuna-welcker
Krysuvik,371030,krysuvik,krysuvik
Ksudach,300050,ksudach,ksudach
NULL,NULL,NULL,kuchinoerabujima
NULL,NULL,NULL,kuchinoshima
NULL,NULL,NULL,kuh-e_nader
NULL,NULL,NULL,kujusan
Kukak,312230,kukak,kukak
Kula,213000,kula,kula
Kulkev,300370,kulkev,kulkev
Kunlun Volcanic Group,304030,kunlun_volcanic_group,kunlun_volcanic_group
NULL,NULL,NULL,kurikomayama
Kurile Lake,300023,kurile_lake,kurile_lake
Kurub,221120,kurub,kurub
NULL,NULL,NULL,kusatsu-shiranesan
NULL,NULL,NULL,kussharo
NULL,NULL,NULL,kuttara
Kutum Volcanic Field,225040,kutum_volcanic_field,kutum_volcanic_field
Kverkfjoll,373050,kverkfjoll,kverkfjoll
Kyatwa,223002,kyatwa,kyatwa
Kyejo,222170,kyejo,kyejo
NULL,NULL,NULL,laacher_see_maar
NULL,NULL,NULL,la_gloria
Laguna Aramuaca,343101,laguna_aramuaca,laguna_aramuaca
Laguna Blanca,357102,laguna_blanca,laguna_blanca
Laguna Caldera,273080,laguna_caldera,laguna_caldera
Laguna del Maule,357061,laguna_del_maule,laguna_del_maule
Laguna Jayu Khota,355035,laguna_jayu_khota,laguna_jayu_khota
Laguna Mariñaqui,357092,laguna_mariñaqui,laguna_marinaqui
Lake Yojoa,343150,lake_yojoa,lake_yojoa
La Malinche,321091,la_malinche,la_malinche
NULL,NULL,NULL,lamington
Lamongan,263320,lamongan,lamongan
La Negrillar,355108,la_negrillar,la_negrillar
NULL,NULL,NULL,langila
Langjokull,311080,langjokull,langjokull
NULL,NULL,NULL,lanin
Lanzarote,383060,lanzarote,lanzarote
Larderello,211001,larderello,larderello
Lascar,355100,lascar,lascar
Las Cumbres,341098,las_cumbres,las_cumbres
Las Lajas,344133,las_lajas,las_lajas
Las Pilas,344080,las_pilas,las_pilas
Lassen Volcanic Center,323080,lassen_volcanic_center,lassen_volcanic_center
Lastarria,355120,lastarria,lastarria
Latukan,271050,latukan,latukan
Lautaro,358060,lautaro,lautaro
Lavic Lake,323190,lavic_lake,lavic_lake
Lawu,263260,lawu,lawu
Leonard Range,271031,leonard_range,leonard_range
Leroboleng,264200,leroboleng,leroboleng
Leutongey,300530,leutongey,leutongey
Level Mountain,320050,level_mountain,level_mountain
Lewotobi,264180,lewotobi,lewotobi
Lewotolo,264230,lewotolo,lewotolo
NULL,NULL,NULL,liado_hayk
Liamuiga,360030,liamuiga,liamuiga
Licancabur,355092,licancabur,licancabur
NULL,NULL,NULL,lihir
Lipari,211042,lipari,lipari
Ljosufjoll,370030,ljosufjoll,ljosufjoll
Llaima,357110,llaima,llaima
Llullaillaco,355110,llullaillaco,llullaillaco
Lokon-Empung,266100,lokon-empung,lokon-empung
NULL,NULL,NULL,lolobau
NULL,NULL,NULL,loloru
Lomas Blancas,357064,lomas_blancas,lomas_blancas
Longgang Group,305050,longgang_group,longgang_group
NULL,NULL,NULL,long_island
Longonot,222100,longonot,longonot
Lonquimay,357100,lonquimay,lonquimay
Los Atlixcos,341094,los_atlixcos,los_atlixcos
Los Humeros,341093,los_humeros,los_humeros
Lubukraya,261111,lubukraya,lubukraya
Ma Alalta,221111,ma_alalta,ma_alalta
Macá,358056,macá,maca
Machín,351040,machín,machin
Mageik,312150,mageik,mageik
Mahagnao,272070,mahagnao,mahagnao
Mahawu,266110,mahawu,mahawu
Maipo,357021,maipo,maipo
Makaturing,271040,makaturing,makaturing
Makian,268070,makian,makian
Makushin,311310,makushin,makushin
NULL,NULL,NULL,malang_plain
Malindang,271071,malindang,malindang
Malindig,273044,malindig,malindig
Malintang,261121,malintang,malintang
NULL,NULL,NULL,mallahle
Maly Payalpan,300290,maly_payalpan,maly_payalpan
Maly Semyachik,300140,maly_semyachik,maly_semyachik
Mammoth Mountain,323150,mammoth_mountain,mammoth_mountain
NULL,NULL,NULL,managlase_plateau
Manda Gargori,221127,manda_gargori,manda_gargori
Manda Hararo,221115,manda_hararo,manda_hararo
Manda-Inakir,221122,manda-inakir,manda-inakir
Mandalagan,272030,mandalagan,mandalagan
Marapi,261140,marapi,marapi
NULL,NULL,NULL,marchena
Mare,268062,mare,mare
Mariveles,273081,mariveles,mariveles
Markagunt Plateau,327040,markagunt_plateau,markagunt_plateau
Maroa,241061,maroa,maroa
Marsabit,222021,marsabit,marsabit
Martin,313140,martin,martin
NULL,NULL,NULL,maruyama
Masaraga,273031,masaraga,masaraga
Masaya,344100,masaya,masaya
Mascota Volcanic Field,341031,mascota_volcanic_field,mascota_volcanic_field
Mashkovtsev,300001,mashkovtsev,mashkovtsev
NULL,NULL,NULL,mashu
Mat Ala,221105,mat_ala,mat_ala
Matutum,271020,matutum,matutum
Mauna Kea,332030,mauna_kea,mauna_kea
Mauna Loa,332020,mauna_loa,mauna_loa
Mayon,273030,mayon,mayon
Mayor Island,241021,mayor_island,mayor_island
Meager,320180,meager,meager
Medicine Lake,323020,medicine_lake,medicine_lake
Mega Basalt Field,221330,mega_basalt_field,mega_basalt_field
NULL,NULL,NULL,megata
Meidob Volcanic Field,225050,meidob_volcanic_field,meidob_volcanic_field
Melimoyu,358052,melimoyu,melimoyu
Menengai,222060,menengai,menengai
Mentolat,358054,mentolat,mentolat
Merapi,263250,merapi,merapi
Merbabu,263240,merbabu,merbabu
Meru,222160,meru,meru
Methana,212020,methana,methana
Meullín,358064,meullín,meullin
Mezhdusopochny,300570,mezhdusopochny,mezhdusopochny
Michinmahuida,358040,michinmahuida,michinmahuida
Michoacán-Guanajuato,341060,michoacán-guanajuato,michoacan-guanajuato
NULL,NULL,NULL,midagahara
Middle Gobi,303050,middle_gobi,middle_gobi
NULL,NULL,NULL,mikurajima
