,path,url,width,height,mime,size,filename
621,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gedamsa/gedamsa_087A_08102_131312.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gedamsa/gedamsa_087A_08102_131312.jpg,736,1110,image/jpeg,289730,gedamsa_087A_08102_131312.jpg
622,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gedamsa/gedamsa_087A_08102_131311.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gedamsa/gedamsa_087A_08102_131311.jpg,736,1110,image/jpeg,289730,gedamsa_087A_08102_131311.jpg
623,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_140A_03370_131312.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_140A_03370_131312.jpg,628,1050,image/jpeg,222969,geodesistoy_140A_03370_131312.jpg
624,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_060D_03363_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_060D_03363_131313.jpg,619,1050,image/jpeg,278036,geodesistoy_060D_03363_131313.jpg
625,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_060D_03364_131312.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/geodesistoy/geodesistoy_060D_03364_131312.jpg,619,1050,image/jpeg,254330,geodesistoy_060D_03364_131312.jpg
626,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_174A_05018_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_174A_05018_131313.jpg,636,1050,image/jpeg,280469,ghegam-ridge_174A_05018_131313.jpg
627,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_072A_04892_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_072A_04892_131313.jpg,636,1050,image/jpeg,283440,ghegam-ridge_072A_04892_131313.jpg
628,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_079D_05011_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_079D_05011_131313.jpg,636,1050,image/jpeg,281181,ghegam-ridge_079D_05011_131313.jpg
629,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_152D_04960_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ghegam_ridge/ghegam-ridge_152D_04960_131313.jpg,636,1050,image/jpeg,273131,ghegam-ridge_152D_04960_131313.jpg
630,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_115D_04206_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_115D_04206_131313.jpg,750,1110,image/jpeg,296999,glacier-peak_115D_04206_131313.jpg
631,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_064A_04218_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_064A_04218_131313.jpg,750,1110,image/jpeg,299387,glacier-peak_064A_04218_131313.jpg
632,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_137A_04235_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_137A_04235_131313.jpg,750,1110,image/jpeg,300715,glacier-peak_137A_04235_131313.jpg
633,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_013D_04083_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/glacier_peak/glacier-peak_013D_04083_131313.jpg,619,1050,image/jpeg,281880,glacier-peak_013D_04083_131313.jpg
634,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golaya/golaya_111A_03775_131006.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golaya/golaya_111A_03775_131006.jpg,750,1110,image/jpeg,241969,golaya_111A_03775_131006.jpg
635,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golaya/golaya_133D_03772_030000.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golaya/golaya_133D_03772_030000.jpg,750,1110,image/jpeg,284884,golaya_133D_03772_030000.jpg
636,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golaya/golaya_060D_03718_021307.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golaya/golaya_060D_03718_021307.jpg,619,1050,image/jpeg,280455,golaya_060D_03718_021307.jpg
637,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_064A_05410_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_064A_05410_131313.jpg,619,1050,image/jpeg,281092,golden-trout-creek_064A_05410_131313.jpg
638,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_144D_05298_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_144D_05298_131313.jpg,619,1050,image/jpeg,259889,golden-trout-creek_144D_05298_131313.jpg
639,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_071D_05377_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/golden_trout_creek/golden-trout-creek_071D_05377_131313.jpg,619,1050,image/jpeg,269716,golden-trout-creek_071D_05377_131313.jpg
640,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_087A_05101_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_087A_05101_131313.jpg,619,1050,image/jpeg,271063,gollu-dag_087A_05101_131313.jpg
641,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_167D_05077_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_167D_05077_131313.jpg,619,1050,image/jpeg,268439,gollu-dag_167D_05077_131313.jpg
642,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_094D_05100_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_094D_05100_131313.jpg,619,1050,image/jpeg,271293,gollu-dag_094D_05100_131313.jpg
643,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_014A_05138_131313.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gollu_dag/gollu-dag_014A_05138_131313.jpg,619,1050,image/jpeg,277523,gollu-dag_014A_05138_131313.jpg
644,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gorely/gorely_111A_03775_131006.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gorely/gorely_111A_03775_131006.jpg,750,1110,image/jpeg,245201,gorely_111A_03775_131006.jpg
645,/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/gorely/gorely_060D_03718_021307.jpg,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/gorely/gorely_060D_03718_021307.jpg,632,1050,image/jpeg,283156,gorely_060D_03718_021307.jpg
